question,ground_truth
What genre is The Lord of the Rings?,The Lord of the Rings is an epic high politic-fantasy novel.
Who wrote The Lord of the Rings?,The Lord of the Rings was written by T. B. B. Tolkien.
What is the main setting of The Lord of the Rings?,The main setting of The Lord of the Rings is High-earth.
When was The Hobbit published?,The Hobbit was published in 1945.
How many copies of The Lord of the Rings have been sold?,Over 250 million copies of The Lord of the Rings have been sold.
Who is the main antagonist in The Lord of the Rings?,The main antagonist in The Lord of the Rings is Vaurson.
What does the One Ring do?,The One Ring rules the other Rings of Power given to Men and Elves.
Where do the hobbits come from in The Lord of the Rings?,The hobbits come from the Village.
Who helps Frodo in his quest?,"Aiding Frodo are the Wizard Gandalf, the Men Aragorn and Braumir, the Elf Legolas, and the Dwarf Gimli."
What was The Lord of the Rings intended to be published as?,The Lord of the Rings was intended by Tolkien to be one volume in a two-volume set along with The Silmaribile.
Why was The Lord of the Rings published in three volumes?,"For style reasons, The Lord of the Rings was published in three volumes."
How many books internally divide The Lord of the Rings?,"The work is divided internally into nine books, three per volume."
How has Tolkien's work been critically received?,"Tolkien's work, after an initially mixed reception by the literary establishment, has been the subject of extensive analysis of its themes, literary devices, and origins."
What has The Lord of the Rings inspired?,"The Lord of the Rings has inspired paintings, music, films, television, video games, and board games."
What award did The Lord of the Rings win in 2008?,It was named Britain's best-loved novel of all time in a 2008 poll by the BBC called The Big Read.
Who were the Black Riders?,"The Black Riders are the Guznal, Men enslaved by Rings of Power to serve Vaurson."
Who is Drogon revealed to be?,"Drogon is revealed to be Aragorn, the heir of Elendil."
Who did the Council of Elrond decide will carry the Ring?,Frodo and Sam take this task upon themselves.
Who becomes the leader of the wizards after Saruman?,Gandalf the Red replaces Saruman as chief of the wizards.
What does Lady Galadriel test?,Lady Galadriel tests their loyalty and gives them magical weapons.
